Tweet,Expected_Disaster_Label,Language
"Earthquake just hit downtown. Evacuate now!","Disaster","English"
"Il y a eu un incendie de forêt près de Marseille.","Disaster","French"
"¡Tormenta eléctrica en camino, manténganse a salvo!","Disaster","Spanish"
"भूकंप अभी आया! सभी सुरक्षित रहें!","Disaster","Hindi"
"地震刚刚发生！大家注意安全！","Disaster","Chinese"
"Erdbeben hat gerade zugeschlagen! Bleibt sicher!","Disaster","German"
"Un uragano si sta avvicinando alla costa.","Disaster","Italian"
"Сильное наводнение в Сибири. Власти предупреждают жителей.","Disaster","Russian"
"Terremoto acabou de atingir! Fiquem seguros!","Disaster","Portuguese"
"زلزال ضرب للتو! ابقوا آمنين!","Disaster","Arabic"
"地震が起きた！皆さん安全に！","Disaster","Japanese"
"강한 폭풍이 곧 도착할 예정입니다. 조심하세요!","Disaster","Korean"
"Πυρκαγιά ξέσπασε στα βουνά. Προσοχή!","Disaster","Greek"
"Um tufão está chegando. Evacuem imediatamente!","Disaster","Portuguese"
"Le inondazioni hanno colpito la città vecchia.","Disaster","Italian"
"Un typhon arrive sur la côte est.","Disaster","French"
"शहर में बाढ़ आ गई है। सुरक्षित रहें।","Disaster","Hindi"
"Enchente atingiu nosso bairro. Ajuda necessária!","Disaster","Portuguese"
"Se ha declarado una alerta de tsunami.","Disaster","Spanish"
"Incendie de forêt maîtrisé. Merci aux pompiers!","Disaster","French"

"Just watched a great movie tonight!","Non-Disaster","English"
"J'ai acheté une nouvelle voiture aujourd'hui.","Non-Disaster","French"
"¡Feliz cumpleaños a mi mejor amigo!","Non-Disaster","Spanish"
"आज बहुत अच्छा मौसम है।","Non-Disaster","Hindi"
"我喜欢吃冰淇淋。","Non-Disaster","Chinese"
"Ich spiele gerne Fußball.","Non-Disaster","German"
"Mi piace cucinare la pasta.","Non-Disaster","Italian"
"Сегодня я гулял в парке.","Non-Disaster","Russian"
"Gosto de ler livros no fim de semana.","Non-Disaster","Portuguese"
"أحب السفر إلى البلدان الجديدة.","Non-Disaster","Arabic"
"今日は友達とカフェに行きました。","Non-Disaster","Japanese"
"저는 음악을 듣는 것을 좋아해요.","Non-Disaster","Korean"
"Πηγαίνω για τρέξιμο κάθε πρωί.","Non-Disaster","Greek"
"Comprei uma bicicleta nova ontem.","Non-Disaster","Portuguese"
"Ho visto una bellissima mostra d'arte.","Non-Disaster","Italian"
"J'ai lu un bon livre ce week-end.","Non-Disaster","French"
"आज मैंने एक कविता लिखी।","Non-Disaster","Hindi"
"Passei o dia com minha família.","Non-Disaster","Portuguese"
"Me encanta la comida mexicana.","Non-Disaster","Spanish"
"Il fait beau aujourd'hui à Paris.","Non-Disaster","French"